Easting,Northing,Distance_m
528910.819,2933870.204,0.0
529538.5843,2934150.212,687.3818094392697
529648.0291,2933489.706,669.5120165337745
530354.5146,2933559.219,709.8970480845929
530265.8831,2932952.495,613.1635629814995
530634.8813,2932936.328,369.35219437856273
530784.4338,2933729.961,807.6009465974586
530502.447,2933977.893,375.482132728349
530704.4204,2934629.289,681.9897382828799
530236.3699,2934618.996,468.1636641166779
