Easting,Northing
528910.819,2933870.204
529538.5843,2934150.212
529648.0291,2933489.706
530354.5146,2933559.219
530265.8831,2932952.495
530634.8813,2932936.328
530784.4338,2933729.961
530502.447,2933977.893
530704.4204,2934629.289
530236.3699,2934618.996
